complaint,category,priority
The delivery person has not contacted me I need this problem resolved.,Delivery,Medium
I am unable to complete the payment,Payment,Medium
The product quality is very poor Can you please check this issue?,Product,Medium
The support team did not respond to my complaint I need this problem resolved.,Service,High
Can I change my preferred payment method I need this problem resolved.,Payment,Low
The product is missing some parts I need this problem resolved.,Product,Medium
My payment was declined Can you please check this issue?,Payment,High
Can I change my preferred payment method Can you please check this issue?,Payment,Low
The item I received is defective I need this problem resolved.,Product,High
The application crashes when I open it This issue needs attention.,Technical,High
I need help recovering my account This issue needs attention.,Account,High
I want more information about the available support,Service,Low
The delivery date has been changed,Delivery,Medium
The customer support response was very slow Can you please check this issue?,Service,Medium
I want to update my profile information Please resolve this as soon as possible.,Account,Low
The website is completely unavailable,Technical,High
My order was delivered to the wrong address Please resolve this as soon as possible.,Delivery,High
The support team did not respond to my complaint,Service,High
The application stopped working Please help me with this issue.,Technical,High
I want more information about the available support I need this problem resolved.,Service,Low
The application stopped working I need this problem resolved.,Technical,High
The delivery person has not contacted me,Delivery,Medium
The service was not satisfactory,Service,Medium
I was charged but did not receive confirmation Can you please check this issue?,Payment,Medium
I am not satisfied with the product Can you please check this issue?,Product,Low
The delivery is taking too long This issue needs attention.,Delivery,Medium
The mobile application is very slow Can you please check this issue?,Technical,Medium
The service was not satisfactory Please help me with this issue.,Service,Medium
The payment is still showing as pending Please help me with this issue.,Payment,Medium
I cannot reset my password Please help me with this issue.,Account,High
I received the wrong product Can you please check this issue?,Product,Medium
I was charged twice for the same transaction Can you please check this issue?,Payment,High
I did not receive proper support Please resolve this as soon as possible.,Service,Medium
The mobile application is very slow This issue needs attention.,Technical,Medium
I want to change my registered email address Please resolve this as soon as possible.,Account,Low
How can I get a refund for my payment Can you please check this issue?,Payment,Medium
The transaction failed after money was deducted This issue needs attention.,Payment,High
I want to contact customer service Can you please check this issue?,Service,Low
I am unable to change my password This issue needs attention.,Account,Medium
I am unable to change my password,Account,Medium
My order has not been delivered yet,Delivery,High
I was charged but did not receive confirmation,Payment,Medium
The support team did not respond to my complaint Please resolve this as soon as possible.,Service,High
I want to change my registered email address,Account,Low
The website is showing an error Please help me with this issue.,Technical,Medium
I want to track my order This issue needs attention.,Delivery,Low
Can I change my preferred payment method Please help me with this issue.,Payment,Low
Money was deducted from my account but the payment failed Please resolve this as soon as possible.,Payment,High
I am unable to complete the payment Can you please check this issue?,Payment,Medium
I did not receive proper support,Service,Medium
The product quality is very poor This issue needs attention.,Product,Medium
I want to know the expected delivery date Can you please check this issue?,Delivery,Low
My delivery is late Please resolve this as soon as possible.,Delivery,Medium
I need help recovering my account,Account,High
I am unhappy with the support provided Can you please check this issue?,Service,Medium
The product quality is very poor Please help me with this issue.,Product,Medium
Money was deducted from my account but the payment failed Can you please check this issue?,Payment,High
I want to update my profile information I need this problem resolved.,Account,Low
I cannot reset my password This issue needs attention.,Account,High
The product quality is very poor I need this problem resolved.,Product,Medium
